Centroids	Abundance	Prevalence
SRS015996.17544-T1-C	0.143551346215	1
SRS015996.4759-T1-C	0.105627705628	1
SRS015996.9035-T1-C	0.0601924759406	1
SRS015996.13034-T1-C	0.0325088339222	1
SRS019597.2012-T1-C	0.0111111111111	1
SRS015996.8654-T1-C	0.0438529784538	1
SRS015996.3827-T1-C	0.107987220447	1
SRS015996.9323-T1-C	0.0479166666666	1
SRS015996.2404-T1-C	0.0327944572748	1
SRS015996.7976-T1-C	0.0702928870292	1
SRS015996.3475-T1-C	0.0556365675828	1
SRS015996.10495-T1-C	0.0129032258065	1
SRS015996.13080-T1-C	0.0232394366198	1
SRS015996.10893-T1-C	0.04	1
SRS015996.2298-T1-C	0.21645646105	1
SRS015996.11596-T1-C	0.0411522633744	1
SRS015996.6756-T1-C	0.028927680798	1
SRS015996.4951-T1-C	0.025702811245	1
SRS015996.560-T1-C	0.0149758454106	1
SRS015996.2578-T1-C	0.0378378378378	1
SRS015996.18689-T1-C	0.036456996149	1
SRS015996.4859-T1-C	0.103278688525	1
SRS015996.14348-T1-C	0.0626506024096	1
SRS015996.10577-T1-C	0.0495412844036	1
SRS015996.175-T1-C	0.0359621451104	1
SRS015996.8260-T1-C	0.0470383275262	1
SRS019597.1953-T1-C	0.0137787056367	1
SRS015996.10451-T1-C	0.12	1
SRS015996.18421-T1-C	0.107520891365	1
SRS019597.1406-T1-C	0.0119521912351	1
SRS015996.19244-T1-C	0.0488421052632	1
SRS015996.20349-T1-C	0.0476388168138	1
SRS015996.14251-T1-C	0.135365853659	1
SRS015996.12976-T1-C	0.0597864768684	1
SRS015996.19940-T1-C	0.051846381093	1
SRS019597.3187-T1-C	0.0433357116754	1
SRS015996.277-T1-C	0.0354066985646	1
SRS015996.13822-T1-C	0.0470967741936	1
SRS019597.1803-T1-C	0.0155555555556	1
SRS015996.15077-T1-C	0.0491891891892	1
SRS015996.12994-T1-C	0.0212765957446	1
SRS015996.18754-T1-C	0.097365119197	1
SRS015996.17395-T1-C	0.0751361161524	1
SRS015996.3509-T1-C	0.173333333333	1
SRS015996.1103-T1-C	0.033502538071	1
SRS015996.18183-T1-C	0.0405970149254	1
