#Centroids	alpha_prevalence_VAGINA	beta_prevalence	mean_abundance	ppanini_score_VAGINA
UniRef90_E6LSS6	0.0526315789474	0.0526315789474	522.991260159	15.4187214048
UniRef90_D5H087	0.473684210526	0.473684210526	475.241782735	17.4226911494
UniRef90_D5H086	0.473684210526	0.473684210526	447.605565973	17.0916107892
UniRef90_D5H085	0.447368421053	0.447368421053	491.886514267	17.5473372159
UniRef90_D5H082	0.631578947368	0.631578947368	497.209528832	17.8184500826
UniRef90_D5H081	0.5	0.5	448.444614407	17.1985476186
UniRef90_D5H080	0.5	0.5	485.07090326	17.6278623132
UniRef90_F6CD58	0.5	0.5	378.579417461	15.9106925718
UniRef90_U2GET4	0.315789473684	0.315789473684	377.963451885	15.6780276044
UniRef90_C2E3J9	0.157894736842	0.157894736842	383.754011984	15.2879139652
UniRef90_D0R5K8	0.131578947368	0.131578947368	392.354806003	15.2292680847
UniRef90_K1NA47	0.368421052632	0.368421052632	352.394838516	15.2141556234
UniRef90_C2E3J7	0.157894736842	0.157894736842	383.960382984	15.2927551158
UniRef50_D6S496	0.105263157895	0.105263157895	370.395160907	14.5836377874
UniRef90_D0DNM7	0.289473684211	0.289473684211	367.851848154	15.3988907328
UniRef90_D6S377	0.105263157895	0.105263157895	377.187756309	14.691712811
UniRef90_U2GJ03	0.0789473684211	0.0789473684211	559.545223122	16.1738664649
UniRef90_D6S376	0.263157894737	0.263157894737	325.33323747	14.3258261048
UniRef90_D6S375	0.263157894737	0.263157894737	327.682391474	14.3821132322
UniRef50_D1YKG5	0.184210526316	0.184210526316	374.843774139	15.2872434682
UniRef90_D6S373	0.105263157895	0.105263157895	377.187756309	14.691712811
UniRef90_D4FE91	0.5	0.5	485.665571656	17.6364019488
UniRef90_E3BTG6	0.289473684211	0.289473684211	376.942579513	15.5691649648
UniRef90_D6S3H8	0.315789473684	0.315789473684	387.030062141	15.8731138011
UniRef50_A8YWR8	0.342105263158	0.342105263158	430.060240789	16.7303742669
UniRef90_E3C1P1	0.236842105263	0.236842105263	486.860365468	17.0825132396
UniRef90_E3BTI3	0.263157894737	0.263157894737	462.101881497	16.9097188172
UniRef90_E3BTI2	0.236842105263	0.236842105263	404.467036471	15.9435407758
UniRef90_F0GMV9	0.131578947368	0.131578947368	513.235889864	16.6637848047
UniRef90_E3BTI5	0.263157894737	0.263157894737	466.803171468	16.9676668409
UniRef90_E3BTI8	0.236842105263	0.236842105263	422.027158387	16.2692829094
UniRef90_C2KBZ4	0.5	0.5	317.49173166	14.4561559562
UniRef90_D4FER3	0.5	0.5	375.17806359	15.8428260375
UniRef90_C4VPF0	0.315789473684	0.315789473684	360.860514074	15.3340810461
UniRef50_K0NQG7	0.526315789474	0.526315789474	393.734558676	16.2999086727
UniRef90_C4VPF4	0.184210526316	0.184210526316	337.97332657	14.5275997427
UniRef50_A8YWR7	0.5	0.5	448.709805784	17.2026285712
UniRef90_P62904	0.210526315789	0.210526315789	353.733930125	14.9246626593
UniRef90_D6S3H7	0.105263157895	0.105263157895	505.189648298	16.3239280832
UniRef90_E1NSE3	0.236842105263	0.236842105263	659.472678374	17.7575716853
UniRef90_C4VPH2	0.0789473684211	0.0789473684211	395.159734213	14.7070426903
UniRef90_E3R679	0.447368421053	0.447368421053	488.230863914	17.5197019615
UniRef90_D6S423	0.263157894737	0.263157894737	406.86272725	16.0678635176
UniRef90_D6S422	0.315789473684	0.315789473684	348.368623704	15.0585858739
UniRef90_D6S421	0.315789473684	0.315789473684	334.311793624	14.7135821955
UniRef90_D6S420	0.131578947368	0.131578947368	406.687809478	15.4786389625
UniRef90_D6S427	0.105263157895	0.105263157895	453.441552937	15.8737761577
UniRef90_D6S426	0.105263157895	0.105263157895	453.441552937	15.8737761577
UniRef90_D6S425	0.105263157895	0.105263157895	453.441552937	15.8737761577
UniRef90_D6S424	0.0526315789474	0.0526315789474	1149.01068554	15.9033027539
UniRef90_D6S429	0.105263157895	0.105263157895	453.441552937	15.8737761577
UniRef90_D6S428	0.289473684211	0.289473684211	363.537286338	15.3195655919
UniRef90_C7XJC3	0.473684210526	0.473684210526	408.376897267	16.4322012059
UniRef90_C7XJC2	0.5	0.5	393.014157457	16.2212550297
UniRef90_C7XJC1	0.473684210526	0.473684210526	406.205075874	16.3939218871
UniRef90_C7XJC5	0.0789473684211	0.0789473684211	426.977091688	15.2005601201
UniRef90_E1NTA1	0.105263157895	0.105263157895	465.992779981	16.019910154
UniRef90_E3D8A1	0.0526315789474	0.0526315789474	444.421350548	14.8434888561
UniRef90_C4VQL0	0.157894736842	0.157894736842	389.021094769	15.3910466054
UniRef90_C7Y4S5	0.315789473684	0.315789473684	489.411877901	17.3990058799
UniRef90_E6LTR5	0.315789473684	0.315789473684	424.437551034	16.5852579347
UniRef90_S5E672	0.5	0.5	381.932744779	15.990644464
SRS011355.1910	0.473684210526	0.473684210526	416.264936818	16.5950708003
UniRef90_D6S5V5	0.236842105263	0.236842105263	342.914626165	14.7149520882
UniRef50_B8ZKI7	0.157894736842	0.157894736842	423.508629897	16.0026230172
UniRef90_W4JJS6	0.0526315789474	0.0526315789474	420.760620075	14.5526164088
UniRef90_A0A087PZQ5	0.263157894737	0.263157894737	1123.67692343	18.0330441842
UniRef90_C7Y482	0.210526315789	0.210526315789	406.709325647	15.9543419215
UniRef90_E1NWA1	0.315789473684	0.315789473684	411.772385592	16.347810914
UniRef90_D0DZ71	0.157894736842	0.157894736842	350.928138412	14.6480684135
UniRef90_G3YXQ8	0.289473684211	0.289473684211	449.855886373	16.8600208977
UniRef90_E1NHP9	0.184210526316	0.184210526316	421.005127762	16.1482547872
UniRef90_E3BUV6	0.0789473684211	0.0789473684211	564.966050427	16.1928356129
UniRef50_A5ULD2	0.0526315789474	0.0526315789474	544.200664903	15.4837289507
UniRef90_Q74I94	0.131578947368	0.131578947368	383.075750782	15.0564885341
SRS011355.1003	0.394736842105	0.394736842105	307.433432729	14.068262816
UniRef90_C8PDP1	0.263157894737	0.263157894737	498.367893626	17.2563004256
UniRef90_C8PDP0	0.289473684211	0.289473684211	430.305933849	16.5911050893
UniRef50_D1YJ50	0.0526315789474	0.0526315789474	533.644596256	15.453649077
UniRef90_D6S5J4	0.315789473684	0.315789473684	327.473319388	14.5272293166
UniRef90_D6S5J3	0.289473684211	0.289473684211	392.588460051	15.8987774056
UniRef90_D6S5J9	0.263157894737	0.263157894737	339.320361403	14.703124403
UniRef90_D0DMA8	0.131578947368	0.131578947368	366.409292752	14.7500560971
UniRef90_D0DMA3	0.131578947368	0.131578947368	368.73889856	14.7900934286
UniRef90_D0DMA4	0.131578947368	0.131578947368	361.821735253	14.6572974074
UniRef90_Q74L45	0.157894736842	0.157894736842	343.592120813	14.4941537932
UniRef90_Q042L3	0.447368421053	0.447368421053	437.459041153	16.9256373323
UniRef90_Q042L7	0.131578947368	0.131578947368	335.770281551	14.106325451
UniRef90_Q042L5	0.421052631579	0.421052631579	388.725000242	15.9911436836
UniRef90_D5H0U7	0.5	0.5	562.662766654	18.0932047974
UniRef90_D0DFP0	0.184210526316	0.184210526316	385.244781645	15.499152424
UniRef90_C8PC88	0.315789473684	0.315789473684	637.949484659	18.0403090206
UniRef90_C8PC89	0.289473684211	0.289473684211	583.350581151	17.7837159028
UniRef90_D0R608	0.157894736842	0.157894736842	390.10594399	15.4175381553
UniRef90_D0R609	0.157894736842	0.157894736842	390.10594399	15.4175381553
UniRef90_D0R603	0.157894736842	0.157894736842	473.710898651	16.6376481001
UniRef90_D0R601	0.157894736842	0.157894736842	380.464209736	15.2326510823
UniRef50_E1NSD3	0.0526315789474	0.0526315789474	691.734263036	15.7814537774
UniRef90_E3BS39	0.263157894737	0.263157894737	630.690787172	17.7952536493
UniRef90_E3BS35	0.315789473684	0.315789473684	562.903512011	17.8130057811
UniRef90_E3BS33	0.315789473684	0.315789473684	646.413747352	18.0607006164
UniRef90_W4JI03	0.210526315789	0.210526315789	538.222237971	17.3440404233
UniRef90_C7XM07	0.5	0.5	337.775671731	15.0174279318
UniRef90_V5GAZ0	0.5	0.5	533.260864794	17.9629571226
UniRef90_C7XH51	0.5	0.5	304.736942195	14.0869379478
UniRef50_A0A059U0Y9	0.210526315789	0.210526315789	327.544360178	14.2880795569
UniRef90_D5H1Y5	0.473684210526	0.473684210526	332.748763167	14.808255434
UniRef90_D5H1Y4	0.5	0.5	418.138217667	16.709692777
UniRef90_D5H1Y9	0.5	0.5	331.801703459	14.8457405875
UniRef90_D5H1Y8	0.5	0.5	357.888373857	15.4745413654
UniRef90_Q047C9	0.157894736842	0.157894736842	432.772259964	16.1658991528
SRS017700.851	0.0789473684211	0.0789473684211	394.40009548	14.6932518826
UniRef90_Q047C8	0.157894736842	0.157894736842	432.772259964	16.1658991528
UniRef90_U2FYT5	0.289473684211	0.289473684211	357.093241674	15.1711565696
SRS018769.559	0.131578947368	0.131578947368	350.133718519	14.4294184051
UniRef90_E1NEB1	0.315789473684	0.315789473684	402.280378893	16.1556881334
UniRef90_C8PAJ4	0.263157894737	0.263157894737	389.537698485	15.7321878403
UniRef90_Q045Y3	0.157894736842	0.157894736842	343.592120813	14.4941537932
UniRef90_D6S2D6	0.315789473684	0.315789473684	341.045594236	14.9024078755
UniRef90_D6S2D5	0.289473684211	0.289473684211	370.889629067	15.4614542408
UniRef90_D6S2D4	0.342105263158	0.342105263158	373.126707869	15.6277869042
UniRef90_Q045Y7	0.157894736842	0.157894736842	343.592120813	14.4941537932
UniRef50_C2EQD2	0.184210526316	0.184210526316	759.215575684	17.7152439304
UniRef50_E1NH66	0.210526315789	0.210526315789	387.623725597	15.5973373591
UniRef90_D6S2D0	0.105263157895	0.105263157895	463.623326156	15.9989812361
UniRef90_Q045Y8	0.157894736842	0.157894736842	343.592120813	14.4941537932
UniRef50_A8YTV5	0.131578947368	0.131578947368	358.747179376	14.6001967967
UniRef90_D6S2D8	0.289473684211	0.289473684211	403.526842305	16.0824449205
SRS011269.1638	0.184210526316	0.184210526316	356.494038629	14.922573195
UniRef50_D4FFT3	0.0526315789474	0.0526315789474	487.804573566	15.2241562062
UniRef90_C8PAR5	0.263157894737	0.263157894737	465.470912811	16.9537910131
UniRef90_D0DI23	0.0789473684211	0.0789473684211	499.820814724	15.9156633774
UniRef90_C8PAR7	0.289473684211	0.289473684211	392.495554374	15.8967462044
UniRef90_U2HUS9	0.157894736842	0.157894736842	347.274347816	14.5712407277
UniRef90_G3YZT7	0.157894736842	0.157894736842	341.658768163	14.4590282203
UniRef90_C7Y677	0.157894736842	0.157894736842	341.488730699	14.4560149479
UniRef90_A8YUC7	0.5	0.5	330.898418904	14.8169356426
UniRef90_A8YUC4	0.0789473684211	0.0789473684211	577.752862184	16.2385891692
UniRef90_C7XGB9	0.105263157895	0.105263157895	358.613379092	14.3598556305
SRS017497.3376	0.105263157895	0.105263157895	919.10209486	16.9438342375
UniRef50_E1NIC0	0.0526315789474	0.0526315789474	577.83626562	15.5997860397
UniRef50_D0R5G8	0.0526315789474	0.0526315789474	478.351293044	15.1425887496
UniRef50_F8K5S5	0.0789473684211	0.0789473684211	2082.37701483	16.6044043929
UniRef90_C4VR49	0.105263157895	0.105263157895	518.951438417	16.3868204088
UniRef90_C7Y3E5	0.368421052632	0.368421052632	309.721389961	14.1290317041
UniRef90_C7XLL7	0.0526315789474	0.0526315789474	432.799268735	14.7250490853
UniRef90_C4VML4	0.184210526316	0.184210526316	381.697712926	15.4274041957
SRS011269.692	0.0526315789474	0.0526315789474	394.901118088	14.1771981092
UniRef50_P37954	0.342105263158	0.342105263158	372.816583449	15.6246415785
UniRef90_C2KDW0	0.473684210526	0.473684210526	457.844174825	17.2290453528
UniRef90_C4VP67	0.210526315789	0.210526315789	326.860206055	14.2686817665
UniRef90_C4VRA0	0.0526315789474	0.0526315789474	434.539872114	14.7535926935
UniRef90_C4VRA1	0.105263157895	0.105263157895	433.411186951	15.6554747713
UniRef90_C4VRA2	0.105263157895	0.105263157895	433.411186951	15.6554747713
UniRef90_C4VRA3	0.131578947368	0.131578947368	360.680650854	14.6383609391
UniRef90_D5H2X5	0.315789473684	0.315789473684	359.205022229	15.2972299378
UniRef90_D5H2X4	0.289473684211	0.289473684211	393.845036071	15.9246611969
UniRef90_E3BSP7	0.263157894737	0.263157894737	565.287267214	17.593333385
UniRef90_E3BSP5	0.263157894737	0.263157894737	488.833250336	17.175809161
UniRef90_E3BSP3	0.263157894737	0.263157894737	489.486158574	17.1803142555
