#Centroids	ppanini_score	alpha_prevalence	beta_prevalence	mean_abundance
UniRef90_D3LV17	{'VAGINA': 4.8788088301357826}	{'VAGINA': 0.02631578947368421}	0.0263157894737	45.3873821042
UniRef90_A0A095ZIQ8	{'VAGINA': 1.0819101835892808}	{'VAGINA': 0.02631578947368421}	0.0263157894737	10.0766041449
UniRef90_Q5FHY4	{'VAGINA': 16.907792345068817}	{'VAGINA': 0.47368421052631576}	0.473684210526	433.126724469
UniRef90_F5THU4	{'VAGINA': 2.6414576543577515}	{'VAGINA': 0.02631578947368421}	0.0263157894737	19.9193499476
UniRef90_Q5FHY3	{'VAGINA': 17.234745417563154}	{'VAGINA': 0.5}	0.5	451.527988108
UniRef90_A0A095ZNG5	{'VAGINA': 1.444433391073078}	{'VAGINA': 0.02631578947368421}	0.0263157894737	12.6190160402
UniRef90_F4AGV0	{'VAGINA': 5.1917959723532547}	{'VAGINA': 0.02631578947368421}	0.0263157894737	56.9356937005
UniRef50_E1NF36	{'VAGINA': 11.12506693373992}	{'VAGINA': 0.02631578947368421}	0.0263157894737	516.621868676
UniRef50_U2INV3	{'VAGINA': 8.1539466737574138}	{'VAGINA': 0.02631578947368421}	0.0263157894737	183.960984928
UniRef90_D1PTJ7	{'VAGINA': 0.84564496362689012}	{'VAGINA': 0.02631578947368421}	0.0263157894737	8.61433831353
SRS011269.3186	{'VAGINA': 6.4440475788890437}	{'VAGINA': 0.05263157894736842}	0.0526315789474	71.6881465267
UniRef50_K6RJ47	{'VAGINA': 16.314896063420075}	{'VAGINA': 0.10526315789473684}	0.105263157895	503.772481079
UniRef90_D0DKP6	{'VAGINA': 17.500860209576864}	{'VAGINA': 0.2631578947368421}	0.263157894737	544.586486752
UniRef90_A0A096B185	{'VAGINA': 7.5015996067142705}	{'VAGINA': 0.02631578947368421}	0.0263157894737	153.609455167
UniRef90_D0DJJ5	{'VAGINA': 11.069550372200659}	{'VAGINA': 0.02631578947368421}	0.0263157894737	494.3607987
UniRef90_I4MFI2	{'VAGINA': 9.1670153364774158}	{'VAGINA': 0.05263157894736842}	0.0526315789474	151.882105357
UniRef90_D0DJJ3	{'VAGINA': 10.700830205479919}	{'VAGINA': 0.02631578947368421}	0.0263157894737	422.473100522
UniRef50_F4BQM7	{'VAGINA': 2.3428194353536091}	{'VAGINA': 0.02631578947368421}	0.0263157894737	18.0656649691
UniRef90_D0DJJ1	{'VAGINA': 10.700830205479919}	{'VAGINA': 0.02631578947368421}	0.0263157894737	422.473100522
UniRef90_E3R2C6	{'VAGINA': 15.873305588192357}	{'VAGINA': 0.5}	0.5	377.03272223
UniRef90_F1T4W0	{'VAGINA': 6.0611961562688759}	{'VAGINA': 0.02631578947368421}	0.0263157894737	93.176019215
UniRef90_F1T4W1	{'VAGINA': 6.0611961562688759}	{'VAGINA': 0.02631578947368421}	0.0263157894737	93.176019215
UniRef90_F1T4W2	{'VAGINA': 6.0611961562688759}	{'VAGINA': 0.02631578947368421}	0.0263157894737	93.176019215
UniRef90_F1T4W3	{'VAGINA': 6.008772125844323}	{'VAGINA': 0.02631578947368421}	0.0263157894737	91.2364285384
UniRef90_C2EVD8	{'VAGINA': 5.2776838180104697}	{'VAGINA': 0.02631578947368421}	0.0263157894737	60.2979441767
UniRef90_F1T4W5	{'VAGINA': 6.008772125844323}	{'VAGINA': 0.02631578947368421}	0.0263157894737	91.2364285384
UniRef90_F1T4W7	{'VAGINA': 8.8089024222772228}	{'VAGINA': 0.02631578947368421}	0.0263157894737	244.686515399
UniRef90_F1T4W8	{'VAGINA': 6.4894605463670105}	{'VAGINA': 0.02631578947368421}	0.0263157894737	111.498024367
UniRef90_C2EVD7	{'VAGINA': 4.1004597330670478}	{'VAGINA': 0.05263157894736842}	0.0526315789474	26.6340060071
UniRef90_C2EVD3	{'VAGINA': 4.9426958215448522}	{'VAGINA': 0.02631578947368421}	0.0263157894737	47.3772433589
UniRef50_D1AYA5	{'VAGINA': 7.5437944423933567}	{'VAGINA': 0.02631578947368421}	0.0263157894737	155.32823929
UniRef50_F6CDH6	{'VAGINA': 6.7147243926153939}	{'VAGINA': 0.05263157894736842}	0.0526315789474	80.0891437918
UniRef90_D0R648	{'VAGINA': 16.047357752940801}	{'VAGINA': 0.15789473684210525}	0.157894736842	426.277551056
UniRef50_T2HZJ9	{'VAGINA': 6.9541124429408807}	{'VAGINA': 0.10526315789473684}	0.105263157895	81.7317356909
UniRef50_S4G806	{'VAGINA': 5.2869528510360544}	{'VAGINA': 0.02631578947368421}	0.0263157894737	60.7173333258
UniRef90_F7SGG7	{'VAGINA': 15.68930501612485}	{'VAGINA': 0.15789473684210525}	0.157894736842	405.785056515
UniRef90_E1GXF6	{'VAGINA': 8.0934459298166388}	{'VAGINA': 0.02631578947368421}	0.0263157894737	180.17421114
UniRef90_E3BU50	{'VAGINA': 16.400297502337136}	{'VAGINA': 0.23684210526315788}	0.236842105263	429.803742734
UniRef90_E1GXF3	{'VAGINA': 8.1382610603765091}	{'VAGINA': 0.02631578947368421}	0.0263157894737	182.776007215
UniRef90_E1GXF2	{'VAGINA': 8.1382610603765091}	{'VAGINA': 0.02631578947368421}	0.0263157894737	182.776007215
UniRef90_E1GXF1	{'VAGINA': 8.1382610603765091}	{'VAGINA': 0.02631578947368421}	0.0263157894737	182.776007215
UniRef90_E1GXF0	{'VAGINA': 8.1382610603765091}	{'VAGINA': 0.02631578947368421}	0.0263157894737	182.776007215
UniRef90_E3BU58	{'VAGINA': 8.5196052380395244}	{'VAGINA': 0.02631578947368421}	0.0263157894737	209.448123242
UniRef50_D2RBG9	{'VAGINA': 6.7484419248168228}	{'VAGINA': 0.05263157894736842}	0.0526315789474	81.052466769
UniRef90_K1MCP3	{'VAGINA': 11.849774234226722}	{'VAGINA': 0.05263157894736842}	0.0526315789474	275.84141646
UniRef90_E1GXF9	{'VAGINA': 8.0934459298166388}	{'VAGINA': 0.02631578947368421}	0.0263157894737	180.17421114
