Gene ID	Annotation	SRS056210	SRS011132	SRS019597	SRS015996	SRS016033
SRS056210.48-T1-C	UniRef_unknown	0.0900321543408	0.0	0.0	0.0	0.0
SRS056210.30-T1-C	UniRef_unknown	0.0931174089069	0.0	0.0	0.0	0.0
SRS056210.3-T1-C	UniRef_unknown	0.0408921933086	0.0	0.0	0.0	0.0
SRS056210.52-T1-C	UniRef_unknown	0.113095238095	0.0	0.0	0.0	0.0
SRS056210.77-T1-C	UniRef_unknown	0.0743405275779	0.0	0.0	0.0	0.0
SRS056210.4-T1-C	UniRef_unknown	0.0798479087452	0.0	0.0	0.0	0.0
SRS056210.10-T1-C	UniRef_unknown	0.0637254901961	0.0	0.0	0.0	0.0
SRS056210.28-T1-C	UniRef_unknown	0.0781893004115	0.0	0.0	0.0	0.0
SRS056210.67-T1-C	UniRef_unknown	0.088772845953	0.0	0.0	0.0	0.0
SRS056210.1-T1-C	UniRef_unknown	3.23220973783	0.0	0.0	0.0	0.0
SRS056210.96-T1-C	UniRef_unknown	0.0686390532544	0.0	0.0	0.0	0.0
SRS056210.18-T1-C	UniRef_unknown	0.0810810810811	0.0	0.0	0.0	0.0
SRS056210.69-T1-C	UniRef_unknown	0.0690537084399	0.0	0.0	0.0	0.0
SRS056210.26-T1-C	UniRef_unknown	0.0954356846473	0.0	0.0	0.0	0.0
SRS056210.63-T1-C	UniRef_unknown	0.0846560846561	0.0	0.0	0.0	0.0
SRS056210.56-T1-C	UniRef_unknown	0.0728291316527	0.0	0.0	0.0	0.0
SRS056210.83-T1-C	UniRef_unknown	0.0948275862069	0.0	0.0	0.0	0.0
SRS056210.5-T1-C	UniRef_unknown	0.0798479087452	0.0	0.0	0.0	0.0
SRS056210.55-T1-C	UniRef_unknown	0.0736543909348	0.0	0.0	0.0	0.0
SRS056210.45-T1-C	UniRef_unknown	0.0684039087948	0.0	0.0	0.0	0.0
SRS056210.64-T1-C	UniRef_unknown	0.0846560846561	0.0	0.0	0.0	0.0
SRS056210.90-T1-C	UniRef_unknown	0.062980030722	0.0	0.0	0.0	0.0
SRS056210.39-T1-C	UniRef_unknown	0.0950570342205	0.0	0.0	0.0	0.0
SRS056210.92-T1-C	UniRef_unknown	0.0912981455064	0.0	0.0	0.0	0.0
SRS056210.58-T1-C	UniRef_unknown	0.0969529085873	0.0	0.0	0.0	0.0
SRS056210.12-T1-C	UniRef_unknown	0.0714285714286	0.0	0.0	0.0	0.0
SRS056210.73-T1-C	UniRef_unknown	0.0582278481013	0.0	0.0	0.0	0.0
SRS056210.53-T1-C	UniRef_unknown	0.0804597701149	0.0	0.0	0.0	0.0
SRS056210.43-T1-C	UniRef_unknown	0.0853242320819	0.0	0.0	0.0	0.0
SRS056210.8-T1-C	UniRef_unknown	0.0792079207921	0.0	0.0	0.0	0.0
SRS056210.51-T1-C	UniRef_unknown	0.0670926517572	0.0	0.0	0.0	0.0
SRS056210.42-T1-C	UniRef_unknown	0.0569395017794	0.0	0.0	0.0	0.0
SRS056210.66-T1-C	UniRef_unknown	0.0785340314136	0.0	0.0	0.0	0.0
SRS056210.62-T1-C	UniRef_unknown	0.072	0.0	0.0	0.0	0.0
